,name,type,description,prerequesite,skill_tree_id
0,Mad Spinner,Active,Spins your body and your axe., Base,1
1,Mad Spinner II,Active,Gradually increases speed of your spin.,Mad Spinner,1
2,Heaven and Earth,Active,"Follows up a Quick Attack with a jumping slice that knocks the enemy into the air, thn slams them back down to earth. (High Stance Only)
Command: Triangle at end of combo",Base,1
3,Could Crush,Active,"Follows up a Quick Attack with an upward slice. If the attack reduces an enemy's Ki to zero, it will lift them and hurl them back. (Low Stance Only)
Command: Triangle button at end of combo",Base,1
4,Rumbling Earth,Active,"Swings axe overhead then slams it to earth, creating a shockwave that damages the area.
Command: Hold triangle button",Mad Spinner,1
5,Roar,Active,"A frontal charge in full guard. (Mid Stance Only)
Command: Hold X while guarding.",Base,1
6,Rumbling Earth II,Active,Allows you to accumulate more power thing Rumbling Earth.,"Rumbling Earth
Cleared Mission ""The Sun Sets On Mount Tenno"".",1
7,The Adamantine,Active,"Increases your defense by sacrificing movement speed. Can only be used when your sword is sheathed
Command: Hold R1 + Circle button.","Roar

",1
8,Kintaro Kata I,Passive,Axe damage increased 2% against yokai.,"Roar
Heaven and Earth",1
9,Kintaro Kata II,Passive,Axe damage increased 1% against yokai.,"Kintaro Kata I
Cleared Mission ""The Sun Sets On Mount Tenno"".",1
10,Kintaro Kata III,Passive,Axe damage increased 1% against yokai.,"Kintaro Kata II
Cleared Mission ""???""",1
11,Battle Focus,Active,Increases Ki used when dodging in exchange for decreasing Ki used when attacking. Can only be used when your sword is sheathed.,The Adamantine,1
12,Rage,Active,"Increases your attack strength, but also the amount of Ki used when attacking. Can only be used when your sword is sheathed. ",The Adamantine,1
13,Spirit Wind,Active,Swings your weapon down upon the enemy while deflecting their attack (Mid Stance Only),Roar,1
14,Earth Carver,Active,"Scrapes the ground as you swing your weapon up, sending debris flying. (Low Stance Only)
Command: Hold triangle button",Could Crush,1
15,Lumber Chop,Active,"Focuses your strength before unleashing a powerful blow. (High Stance Only)
Command: Triangle button at end of combo",Heaven and Earth,1
16,Tri-Spark,Active,Attacks three times in a row. (Mid Stance Only),Spirit Wind,1
17,Stone Mallet,Active,Rams into the enemy and sends them flying. (Mid Stance Only),Spirit Wind,1
18,Bear's Bane,Active,"Slams the axe deep into the earth before pulling it out and creating a shockwave that damages nearby enemies.
Command: L1 + Triangle button (triangle while guarding)","Mad Spinner II
Cleared Mission ""The Sun Sets On Mount Tenno"".",1
19,Relentless I,Passive,Maximum Ki increases by +30 when you have Axe equipped as your main weapon.,"Could Crush
Mad Spinner",1
20,Relentless II,Passive,Maximum Ki increases by +20 when you have Axe equipped as your main weapon.,"Relentless I
Cleared Mission ""The Sun Sets On Mount Tenno"".

 ",1
21,Relentless III,Passive,Maximum Ki increases by +10 when you have Axe equipped as your main weapon.,"Relentless II
Cleared Mission ""The Sun Sets On Mount Tenno"".",1
22,Indomitable Spirit I,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 15% when you have Axe equipped as your main weapon.",Roar,1
23,Indomitable Spirit II,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 10% when you have Axe equipped as your main weapon.",Indomitable Spirit I,1
24,Indomitable Spirit III,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 5% when you have Axe equipped as your main weapon.","Indomitable Spirit III
Cleared Mission ""???""",1
25,Cornered Tiger I,Passive,"When your health is below 30%, your melee damage will be increased by 15% when you have Axe equipped as your main weapon.",Heaven and Earth,1
26,Cornered Tiger II,Passive,"When your health is below 30%, your melee damage will be increased by 10% when you have Axe equipped as your main weapon.","Cornered Tiger I
Cleared Mission ""The Sun Sets On Mount Tenno"".
Lumber Chop",1
27,Cornered Tiger III,Passive,"When your health is below 30%, your melee damage will be increased by 5% when you have Axe equipped as your main weapon.","Cornered Tiger II
Cleared Mission ""???""",1
28,Cornered Boar I,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 15% when, you have Axe equipped as your main wearen.",Heaven and Earth,1
29,Cornered Boar II,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 10% when you have Axe equipped as your main weapon","Cornered Boar I
Cleared Mission ""The Sun Sets On Mount Tenno"".
Lumber Chop

 ",1
30,Cornered Boar III,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 5% when you have Axe equipped as your main weapon.","Cornered Boar II
Cleared Mission ""???""",1
31,Full Moon Kata I,Passive,"While in full health, your melee damage increases by 3% when you have a Axe equipped as your main weapon.",Earth Carver,1
32,Full Moon Kata II,Passive,"While in full health, your melee damage increases by 2% when you have a Axe equipped as your main weapon.","Full Moon Kata I
Cleared Mission ""The Sun Sets On Mount Tenno"".",1
33,Full Moon Kata III,Passive,"While in full health, your melee damage increases by 1% when you have a Axe equipped as your main weapon.","Full Moon Kata II
Cleared Mission ""???""",1
34,Passage to the Afterlife I,Passive ,Increases grapple damage by 4% when you base a Axe equipped as your main weapon.,"Heaven and Earth
Mad Spinner",1
35,Passage to the Afterlife II,Passive,Increases grapple damage by 3% when you have a Axe equipped as your main weapon.,"Passage to the Afterlife I
Cleared Mission ""The Sun Sets On Mount Tenno"".",1
36,Passage to the Afterlife III,Passive,Increases grapple damage by 2% when you have a Axe equipped as your main weapon.,"Passage to the Afterlife II
Cleared Mission ""???""",1
37,Southpaw,Active,"Follow up a Quick Attack by using the side of your axe to land a heavy blow on the enemy.
(Mid/tow Stance Orly)
Command: Triangle butto at end of combo","Could Crush
Roar",1
38,Titanic Strength,Active,Launches the enemy up before slamming them back down.,Mad Spinner,1
